2026-07-07 01:37:24.342 | INFO     | request_id - 1 | app.agent.nodes.extract_keywords:extract_keywords:47 - 抽取关键词：['华北地区', '统计', '销售总额', '统计华北地区的销售总额']
2026-07-07 01:37:42.825 | INFO     | request_id - 1 | app.agent.nodes.extract_keywords:extract_keywords:47 - 抽取关键词：['华北地区', '销售总额', '统计华北地区的销售总额', '统计']
2026-07-07 23:14:07.305 | INFO     | request_id - 1 | app.agent.nodes.extract_keywords:extract_keywords:47 - 抽取关键词：['销售总额', '华北地区', '统计华北地区的销售总额', '统计']
2026-07-07 23:14:07.306 | ERROR    | request_id - 1 | app.agent.nodes.recall_column:recall_column:69 - 召回字段信息 failed: [Errno 2] No such file or directory: '/Users/jacob/GitProject/data_mind/prompts/extent_keywords_for_column_recall.prompt'
2026-07-07 23:14:07.306 | ERROR    | request_id - 1 | app.agent.nodes.recall_metric:recall_metric:69 - 召回指标信息 failed: [Errno 2] No such file or directory: '/Users/jacob/GitProject/data_mind/prompts/extent_keywords_for_metric_recall.prompt'
2026-07-07 23:16:20.755 | INFO     | request_id - 1 | app.agent.nodes.extract_keywords:extract_keywords:47 - 抽取关键词：['华北地区', '统计', '统计华北地区的销售总额', '销售总额']
2026-07-07 23:16:24.302 | ERROR    | request_id - 1 | app.agent.nodes.recall_value:recall_value:66 - 召回字段取值 failed: BadRequestError(400, 'media_type_header_exception', 'Invalid media-type value on headers [Content-Type, Accept]', Accept version must be either version 8 or 7, but found 9. Accept=application/vnd.elasticsearch+json; compatible-with=9)
2026-07-07 23:20:22.583 | INFO     | request_id - 1 | app.agent.nodes.extract_keywords:extract_keywords:47 - 抽取关键词：['统计', '华北地区', '统计华北地区的销售总额', '销售总额']
2026-07-07 23:20:24.880 | INFO     | request_id - 1 | app.agent.nodes.recall_value:recall_value:62 - 检索到字段取值：['dim_region.region_name.华北']
2026-07-07 23:20:33.086 | INFO     | request_id - 1 | app.agent.nodes.recall_metric:recall_metric:65 - 检索到指标信息：['GMV', 'AOV']
2026-07-08 00:14:39.662 | INFO     | request_id - 1 | app.agent.nodes.extract_keywords:extract_keywords:47 - 抽取关键词：['统计', '销售总额', '统计华北地区的销售总额', '华北地区']
2026-07-08 00:14:42.315 | INFO     | request_id - 1 | app.agent.nodes.recall_value:recall_value:62 - 检索到字段取值：['dim_region.region_name.华北']
2026-07-08 00:14:44.352 | INFO     | request_id - 1 | app.agent.nodes.recall_metric:recall_metric:65 - 检索到指标信息：['GMV', 'AOV']
2026-07-08 00:14:46.000 | ERROR    | request_id - 1 | app.agent.nodes.merge_retrieved_info:merge_retrieved_info:156 - 合并召回信息 failed: 'retrieved_column_infos'
2026-07-08 00:16:50.022 | INFO     | request_id - 1 | app.agent.nodes.extract_keywords:extract_keywords:47 - 抽取关键词：['统计华北地区的销售总额', '华北地区', '销售总额', '统计']
2026-07-08 00:16:53.090 | INFO     | request_id - 1 | app.agent.nodes.recall_value:recall_value:62 - 检索到字段取值：['dim_region.region_name.华北']
2026-07-08 00:16:53.291 | INFO     | request_id - 1 | app.agent.nodes.recall_metric:recall_metric:65 - 检索到指标信息：['GMV', 'AOV']
2026-07-08 00:16:53.450 | INFO     | request_id - 1 | app.agent.nodes.merge_retrieved_info:merge_retrieved_info:142 - 合并后的表信息：['dim_region', 'fact_order']
2026-07-08 00:16:53.451 | INFO     | request_id - 1 | app.agent.nodes.merge_retrieved_info:merge_retrieved_info:145 - 合并后的指标信息：['GMV', 'AOV']
2026-07-08 23:16:24.254 | INFO     | request_id - 1 | app.agent.nodes.extract_keywords:extract_keywords:47 - 抽取关键词：['统计', '统计华北地区的销售总额', '销售总额', '华北地区']
2026-07-08 23:16:30.849 | INFO     | request_id - 1 | app.agent.nodes.recall_metric:recall_metric:65 - 检索到指标信息：['GMV', 'AOV']
2026-07-08 23:16:35.412 | INFO     | request_id - 1 | app.agent.nodes.recall_value:recall_value:62 - 检索到字段取值：['dim_region.region_name.华北']
2026-07-08 23:16:35.513 | INFO     | request_id - 1 | app.agent.nodes.merge_retrieved_info:merge_retrieved_info:142 - 合并后的表信息：['fact_order', 'dim_region']
2026-07-08 23:16:35.513 | INFO     | request_id - 1 | app.agent.nodes.merge_retrieved_info:merge_retrieved_info:145 - 合并后的指标信息：['GMV', 'AOV']
2026-07-08 23:16:37.807 | INFO     | request_id - 1 | app.agent.nodes.filter_metric:filter_metric:56 - 过滤后的指标信息：['GMV']
2026-07-08 23:16:39.013 | INFO     | request_id - 1 | app.agent.nodes.filter_table:filter_table:61 - 过滤后的表信息：['fact_order', 'dim_region']
2026-07-08 23:16:39.037 | INFO     | request_id - 1 | app.agent.nodes.add_extra_context:add_extra_context:37 - 数据库信息：{'dialect': 'mysql', 'version': '8.0.46'}
2026-07-08 23:16:39.037 | INFO     | request_id - 1 | app.agent.nodes.add_extra_context:add_extra_context:38 - 日期信息：{'date': '2026-07-08', 'weekday': 'Wednesday', 'quarter': 'Q3'}
